,Title,Price,Rating
89,"JBL Tune 230NC TWS, Active Noise Cancellation, 40Hr Pla...","₹3,499","(9,964)"
90,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",₹999,"(76,695)"
91,DigiClues RB M28 Earbuds/TWs Upto 300 Hrs Playtime With...,₹669,(36)
92,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",₹999,"(9,728)"
93,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",₹999,"(14,958)"
94,"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...","₹1,399","(22,976)"
95,"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...","₹1,299","(55,853)"
96,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,299","(6,733)"
97,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
98,"TRIGGR Kraken X3 with RGB Lights, 40ms Latency, Quad EN...",₹799,"(2,491)"
99,"HOPPUP AirDoze Grand Pro with Power Bank Function, 200 ...",₹799,"(8,692)"
100,boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199","(8,89,922)"
101,"Boult Audio W20 with Zen ENC Mic, 32H Battery Life, Low...",₹999,"(16,255)"
102,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,999","(21,271)"
103,"realme Buds Air 5 with 50dB ANC, 12.4mm Dynamic Bass Dr...","₹3,299","(9,926)"
104,"boAt Airdopes 131 PRO with 11mm Drivers,45Hrs Playback,...",₹999,"(2,11,963)"
105,OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹2,199","(32,373)"
106,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
107,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"(1,03,933)"
108,"Mivi DuoPods K4 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",₹699,"(10,699)"
109,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹999,"(16,98,081)"
110,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
111,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
112,Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹526,"(2,14,439)"
113,"boAt Airdopes 191G with 6mm Dual Drivers, Quad Mics ENx...","₹1,099","(37,759)"
114,Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹526,"(2,14,439)"
115,Fire-Boltt Fire Pods Ninja G201 Earbuds TWS IWP HD Call...,₹899,"(63,979)"
116,"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",₹572,"(2,687)"
117,Tunifi M19 Earbuds Upto 48 Hours Playback with Power Ba...,₹597,"(3,637)"
118,Seashot M19 Earbuds/TWS/buds 5.1 Earbuds with 280H Play...,₹498,"(38,232)"
119,"Noise Buds VS404 with 50 Hours Playtime, ENC with Quad ...","₹1,099","(38,290)"
120,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","(14,931)"
121,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399","(6,520)"
122,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
123,ZEBRONICS ZEB-PARADISE Bluetooth Headset,₹885,"(3,190)"
124,OPPO Enco Air3 Pro Industry first Composite Bamboo Fibe...,"₹4,999","(2,687)"
125,Aroma NB140 Jaguar 50 Hours* Playtime|Deep Bass|Fast Ch...,₹522,"(3,601)"
126,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
127,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
128,Worricow Portable Sports Wireless Over Ear Bluetooth He...,₹475,
129,APPLE AirPods (3rd generation) with Lightning Charging ...,"₹16,990",(983)
130,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",₹999,"(76,695)"
131,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,299","(6,733)"
132,TECHFIRE M10 Earbuds/Tws/True wireless Bluetooth Headph...,₹399,(20)
133,"Boult Audio Z40 Pro with 100H Battery, Quad Mic ENC, Sc...","₹1,499","(15,557)"
134,GUGGU K1 t Earbud with Built in Mic Handsfree Calling f...,₹349,(3)
135,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹999,"(11,839)"
136,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
137,DigiClues RB M28 Earbuds/TWs Upto 300 Hrs Playtime With...,₹669,(36)
138,"Noise Buds VS102 Pro with ANC (25dB), 70 Hours Playtime...","₹1,399","(22,976)"
139,summore THUNDER (NAVY BUE) Bluetooth Headset,₹699,
140,boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199","(8,89,922)"
141,"Boult Audio W20 with Zen ENC Mic, 32H Battery Life, Low...",₹999,"(16,255)"
142,"Noise Buds Trance with 45 Hrs Playtime, Low Latency (up...",₹999,"(9,728)"
143,"Mivi DuoPods K7 Metallic Finish,AI ENC,50H Playtime,Low...","₹1,099","(20,605)"
144,boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,₹999,"(16,98,081)"
145,HOUSE OF SOUND M19 Bluetooth Headset,₹488,"(3,335)"
146,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
147,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"(1,03,933)"
148,"Boult Audio W40 with Quad Mic ENC, 48H Battery Life, Lo...","₹1,099","(27,944)"
149,Worricow Hot Selling Neckband Wireless Earphones Headph...,₹549,
150,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
151,"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",₹572,"(2,687)"
152,"Mi Mi Wired in-Ear Earphones with Mic, Ultra Deep Bass ...",₹399,"(7,60,714)"
153,"Noise Buds VS102 Plus with 70 Hrs Playtime, Environment...","₹1,099","(55,853)"
154,"Mivi DuoPods D4 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",₹799,"(18,140)"
155,Worricow Wireless Bluetooth ortable Sports Headphone wi...,₹475,
156,Tunifi M19 Earbuds Upto 48 Hours Playback with Power Ba...,₹597,"(3,637)"
157,"Enzine Badshah-007, India's First low budget 6 months W...",₹449,"(1,429)"
158,"Fire-Boltt Fire Pods Ninja Pro 403 Earbuds TWS, ENC & G...",₹999,"(17,896)"
159,"PTron Bassbuds Joy TWS with 13mm Drivers, Stereo Calls,...",₹699,"(29,893)"
160,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","(14,931)"
161,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399","(6,520)"
162,"Number Super Buds Pro GT99, ENC Gaming, Super Low Laten...","₹1,399","(3,204)"
163,HOUSE OF SOUND STAR M19 Bluetooth Headset,₹495,"(1,059)"
164,OPPO Enco M32 / EWN20 Bluetooth Headset,"₹1,799","(80,499)"
165,"Alfanso Earbuds White, With Wireless Charging Case Blue...",₹490,(690)
166,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
167,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
168,"boAt Immortal 171 with Beast Mode(Low Latency), 40 HRS ...","₹1,399","(7,912)"
169,"Boult Audio W20 with Zen ENC Mic, 32H Battery Life, Low...",₹999,"(16,255)"
170,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",₹999,"(76,695)"
171,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,299","(6,733)"
172,SONY WF-C500 IPX4/20Hrs Battery Life Bluetooth Headset,"₹5,990","(8,390)"
173,"SONY WH-CH520 with 50 Hrs Playtime, DSEE Upscale, Multi...","₹4,490","(2,140)"
174,APPLE EarPods (USB-C) Wired Headset,"₹1,799",(491)
175,"Mivi DuoPods K6 TWS,Rich Bass,50H Playtime,AI ENC,Low L...",₹899,"(16,975)"
176,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
177,DigiClues RB M28 Earbuds/TWs Upto 300 Hrs Playtime With...,₹669,(36)
178,"NOPE Nuclear B1 TWS Earbuds 40Hrs Playtime, BT 5.1, 13 ...",₹699,(416)
179,"Noise Buds VS102 Neo with 40 Hrs Playtime, Environmenta...",₹999,"(14,958)"
180,boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199","(8,89,922)"
181,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
182,"ORAIMO Airbuds 3 Earbuds with ENC, up to 20 hours Playb...",₹699,"(11,733)"
183,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",₹699,"(23,432)"
184,"Boult Audio Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery...","₹1,099","(10,613)"
185,DigiClues M19 Earbuds with 48 Hours Palyback and ASAP C...,₹599,(518)
186,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
187,"Boult Audio ProBass Fcharge with 40 hrs Playtime, ENC, ...",₹999,"(1,03,933)"
188,JBL C150SI with One Button Universal Remote Wired Heads...,₹599,"(4,01,222)"
189,Aroma NB140 Ninja 40 Hours*Playtime | Deep Bass | Fast ...,₹599,(29)
190,"Boult Audio Airbass Z35 with ZEN ENC Mic, 32H Playtime,...",₹899,"(79,436)"
191,"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",₹572,"(2,687)"
192,SAMSUNG Galaxy Buds 2 Bluetooth Headset,"₹6,999","(9,098)"
193,"ORAIMO FreePods Lite Earbuds with 40Hr Playtime,Custom ...",₹799,"(2,613)"
194,APPLE EarPods with 3.5mm Headphone Plug Wired Headset,"₹1,499","(16,999)"
195,NB Enterprise M10 TWS 2200 mAh Power Bank Charging Box ...,₹375,(4)
196,Tunifi M19 Earbuds Upto 48 Hours Playback with Power Ba...,₹597,"(3,637)"
197,"Enzine Badshah-007, India's First low budget 6 months W...",₹449,"(1,429)"
198,WINGS Flobuds 100 Made In India with Digital Battery Di...,₹699,"(1,631)"
199,Ucool Nexa 100 Hours Playtime Bluetooth Wireless Neckba...,₹599,"(12,658)"
200,"Boult Audio Maverick with Quad Mic ENC, 45ms Low Latenc...","₹1,499","(14,931)"
201,"Boult Audio Ammo 40H Playtime, ZEN ENC Mic, 40ms Low La...","₹1,399","(6,520)"
202,"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹999,"(1,19,083)"
203,"TECHFIRE Bullets ARC Wireless Neckband with FastCharge,...",₹499,(54)
204,JBL C150SI with One Button Universal Remote Wired Heads...,₹749,"(4,01,222)"
205,myxes Bluetooth 5.1 M19 Earbuds TWS Touch Control Headp...,₹430,(155)
206,FITRIC B-55 Bluetooth Headset,₹439,(9)
207,"Boult Audio Z40 with Zen ENC Mic, 60H Battery Life, Low...","₹1,099","(1,29,234)"
208,"Boult Audio Rcharge with 30Hrs Playtime, ENC mic, Dual ...",₹799,"(4,085)"
209,boAt Rockerz 255 Pro+ /258 Pro+ with ASAP Charge and up...,"₹1,199","(8,89,922)"
210,"Boult Audio Astra with Quad Mic ENC, 48Hrs Battery, Low...","₹1,299","(13,090)"
211,"Boult Audio X50 with 40Hr Battery, Quad Mic ENC, 45ms U...",₹999,"(76,695)"
212,"Nothing Ear (2) with Dual chamber sound, Hi-res audio, ...","₹9,999","(8,314)"
213,Mi Mi Dual Driver Dynamic Bass High Definition in-Ear E...,₹799,"(83,896)"
214,"Mivi Collar D25 Earphones with fast charge, 24Hours pla...",₹699,"(46,895)"
215,OnePlus Nord Buds Bluetooth Headset,"₹2,799","(1,02,899)"
216,"truke Buds Vibe with 35dB ANC, 4Mic ENC, 13mm Speaker, ...","₹1,299","(6,733)"
217,"Boult Audio ProBass EQCharge with ZEN Mode ENC, 32hrs P...",₹899,"(97,524)"
218,"haiidra M19 TWS Bluetooth Earbuds with BT v5.1, Great S...",₹489,(57)
219,PROWARP PRODART Original EHS61 Deep Bass with Sound Can...,₹239,"(12,950)"
220,DigiClues RB M28 Earbuds/TWs Upto 300 Hrs Playtime With...,₹669,(36)
221,"Boult Audio W20 with Zen ENC Mic, 32H Battery Life, Low...",₹999,"(16,255)"
222,Aroma NB119 Titanium - 48 Hours Playtime Bluetooth Neck...,₹526,"(2,14,439)"
